id,x,y,nx,ny,name,kind
G001,174,901,0.120166,0.829650,西校门连接点,intersection
G002,871,795,0.601519,0.732044,南门连接点,intersection
G003,1205,220,0.832182,0.202578,东校门连接点,intersection
G004,789,57,0.544890,0.052486,北侧校门连接点,intersection
P001,291,213,0.200967,0.196133,国家烟气脱硫工程研究基地入口,intersection
P002,323,181,0.223066,0.166667,多学科交叉研究中心北入口,intersection
P003,318,228,0.219613,0.209945,多学科交叉研究中心南入口,intersection
P004,398,252,0.274862,0.232044,新能源与染料研究院入口,intersection
P006,838,135,0.578729,0.124309,教职工楼入口,intersection
P007,800,155,0.552486,0.142726,东园六舍入口,intersection
P008,875,203,0.604282,0.186924,东园七舍入口,intersection
P009,945,215,0.652624,0.197974,东园八舍入口,intersection
P010,806,239,0.556630,0.220074,东园一舍入口,intersection
P011,900,255,0.621547,0.234807,东园二舍入口,intersection
P012,984,231,0.679558,0.212707,东园五舍入口,intersection
P013,794,385,0.548343,0.354512,行政楼入口,intersection
P014,761,422,0.525552,0.388582,图书馆主入口,intersection
P015,759,559,0.524171,0.514733,学术交流中心入口,intersection
P016,471,562,0.325276,0.517495,艺术学院入口,intersection
P017,747,688,0.515884,0.633517,实践楼入口,intersection
P018,926,565,0.639503,0.520258,第一教学楼入口,intersection
P019,978,589,0.675414,0.542357,第二教学楼入口,intersection
P020,918,644,0.633978,0.593002,大礼堂入口,intersection
P021,1008,335,0.696133,0.308471,支科楼入口,intersection
P022,1040,335,0.718232,0.308471,华西文化交流中心入口,intersection
P023,1089,397,0.752072,0.365562,游泳馆入口,intersection
P024,1087,447,0.750691,0.411602,体育馆入口,intersection
P025,1147,488,0.792127,0.449355,体育场西入口,intersection
P026,1328,475,0.917127,0.437385,体育场东入口,intersection
P027,1104,585,0.762431,0.538674,江安校区园林馆与博物馆入口,intersection
P028,1280,627,0.883978,0.577348,工程训练中心入口,intersection
P029,1275,718,0.880525,0.661142,创新创业孵化中心入口,intersection
P030,1297,789,0.895718,0.726519,东区学生食堂入口,intersection
P031,1263,294,0.872238,0.270718,灾后重建与管理学院入口,intersection
P033,917,317,0.633287,0.291897,东园学生食堂入口,intersection
P034,447,585,0.308702,0.538674,学生活动中心入口,intersection
P035,521,663,0.359807,0.610497,钢桥馆入口,intersection
P036,575,755,0.397099,0.695212,西区体育场入口,intersection
P037,833,736,0.575276,0.677716,明远门入口,intersection
P038,1123,278,0.775552,0.255985,东门停车场入口,intersection
P039,1320,760,0.911602,0.699816,东区宿舍入口,intersection
P040,1267,748,0.875000,0.688766,东区后勤综合楼入口,intersection
P045,1088,327,0.751381,0.301105,东园文化交流中心入口,intersection
P046,816,754,0.563536,0.694291,南区服务建筑入口,intersection
P047,873,532,0.602901,0.489871,综合楼入口,intersection
P048,874,599,0.603591,0.551565,一基楼入口,intersection
P049,1248,320,0.861878,0.294659,建筑与环境学院楼入口,intersection
P050,410,690,0.283149,0.635359,西园食堂入口,intersection
P051,1025,535,0.707873,0.492634,教学区食堂入口,intersection
P052,755,445,0.521409,0.409761,图书馆南入口,intersection
D001,184,446,0.127072,0.410681,西园21舍入口,intersection
D002,221,459,0.152624,0.422652,西园23舍入口,intersection
D003,185,500,0.127762,0.460405,西园20舍入口,intersection
D004,250,503,0.172652,0.463168,西园22舍入口,intersection
D005,184,548,0.127072,0.504604,西园17舍入口,intersection
D006,258,551,0.178177,0.507366,西园16舍入口,intersection
D007,200,623,0.138122,0.573665,西园18舍入口,intersection
D008,270,624,0.186464,0.574586,西园19舍入口,intersection
D009,338,622,0.233425,0.572744,西园15舍北入口,intersection
D010,408,620,0.281768,0.570902,西园13舍北入口,intersection
D011,205,665,0.141575,0.612339,西园15舍南入口,intersection
D012,330,684,0.227901,0.629834,西园13舍南入口,intersection
D013,222,724,0.153315,0.666667,西园1舍入口,intersection
D014,290,716,0.200276,0.659300,西园14舍入口,intersection
D015,348,723,0.240331,0.665746,西园3舍北入口,intersection
D016,404,724,0.279006,0.666667,西园7舍北入口,intersection
D017,250,765,0.172652,0.704420,西园3舍南入口,intersection
D018,318,778,0.219613,0.716390,西园6舍入口,intersection
D019,386,780,0.266575,0.718232,西园9舍北入口,intersection
D020,220,825,0.151934,0.759669,西园3舍西南入口,intersection
D021,282,820,0.194751,0.755064,西园7舍入口,intersection
D022,342,826,0.236188,0.760589,西园9舍南入口,intersection
D023,403,822,0.278315,0.756906,西园11舍入口,intersection
D024,242,844,0.167127,0.777164,西园2舍入口,intersection
D025,365,835,0.252072,0.768877,西园10舍与12舍连接入口,intersection
J001,119,314,0.082182,0.289134,西北环路入口交叉点,intersection
J002,169,288,0.116713,0.265193,科研区西侧道路转折点,intersection
J003,238,258,0.164365,0.237569,科研区西路交叉点,intersection
J004,324,243,0.223757,0.223757,科研区中央交叉点,intersection
J005,410,248,0.283149,0.228361,科研区东侧交叉点,intersection
J006,490,256,0.338398,0.235727,北部绿地道路连接点,intersection
J007,564,213,0.389503,0.196133,北侧河道西岸连接点,intersection
J008,684,195,0.472376,0.179558,北侧河道东岸连接点,intersection
